version,group,bench_simple,bench_full,mode,mean,unit,date
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,87026.7748351999,ms,1575228520664
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.0999177682468463,ms,1576452190236
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.101302196245897,ms,1576214538490
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.0984310344718848,ms,1575788177503
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.101803876157305,ms,1575228520664
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,27.6964001356432,ms,1576452190236
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,25.7454654729637,ms,1576214538490
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,24.5524704135903,ms,1575788177503
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,26.1606344754611,ms,1575228520664
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,103.65066029589,ms,1576452190236
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,104.439796700689,ms,1576214538490
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,104.788443226519,ms,1575788177503
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,105.910410067415,ms,1575228520664
old,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,10.1075433433077,ms,1576452190236
old,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,9.70190044904293,ms,1576214538490
old,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,10.0752072371743,ms,1575788177503
old,Cypher,GreaterThanIndexSeek.executePlan,"GreaterThanIndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.1)",LATENCY,10.0606550878604,ms,1575228520664
old,Cypher,RangeIndexSeek.executePlan,"RangeIndexSeek.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.1)",LATENCY,12.1787139324675,ms,1576452190236
old,Cypher,RangeIndexSeek.executePlan,"RangeIndexSeek.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.1)",LATENCY,12.1300487036378,ms,1576214538490
old,Cypher,RangeIndexSeek.executePlan,"RangeIndexSeek.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.1)",LATENCY,12.0703795727155,ms,1575788177503
old,Cypher,RangeIndexSeek.executePlan,"RangeIndexSeek.executePlan_(propertyType,small_string)_(runtime,slotted)_(selectivity,0.1)",LATENCY,12.1044933853847,ms,1575228520664
old,Cypher,Expand.executePlan,"Expand.executePlan_(auth,false)_(runtime,compiled-bytecode)_(user,full)",LATENCY,89.3918786572103,ms,1576452190236
old,Cypher,Expand.executePlan,"Expand.executePlan_(auth,false)_(runtime,compiled-bytecode)_(user,full)",LATENCY,88.7115910610328,ms,1576214538490
old,Cypher,Expand.executePlan,"Expand.executePlan_(auth,false)_(runtime,compiled-bytecode)_(user,full)",LATENCY,89.8154534916864,ms,1575788177503
old,Cypher,Expand.executePlan,"Expand.executePlan_(auth,false)_(runtime,compiled-bytecode)_(user,full)",LATENCY,84.662395704698,ms,1575228520664
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,slotted)_(user,full)",LATENCY,56568.2984277333,ms,1576452190236
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,slotted)_(user,full)",LATENCY,51705.1427498666,ms,1576214538490
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,slotted)_(user,full)",LATENCY,52080.9523882666,ms,1575788177503
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,slotted)_(user,full)",LATENCY,52353.8617685333,ms,1575228520664
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,1)",LATENCY,2.28531568480116,ms,1576452190236
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,1)",LATENCY,2.30855891966486,ms,1576214538490
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,1)",LATENCY,2.25720614228058,ms,1575788177503
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,1)",LATENCY,2.32777845297552,ms,1575228520664
old,Cypher,CircleDistancePointIndexSeek.executePlan,"CircleDistancePointIndexSeek.executePlan_(crs,cartesian)_(extraLevels,5)_(filtered,false)_(maxBits,60)_(ratio,0.1)_(runtime,slotted)_(thresholdDelta,0.3)_(thresholdTop,0.8)",LATENCY,68.4560127302452,ms,1576452190236
old,Cypher,CircleDistancePointIndexSeek.executePlan,"CircleDistancePointIndexSeek.executePlan_(crs,cartesian)_(extraLevels,5)_(filtered,false)_(maxBits,60)_(ratio,0.1)_(runtime,slotted)_(thresholdDelta,0.3)_(thresholdTop,0.8)",LATENCY,69.9759273401297,ms,1576214538490
